"forest","acc.ff","size","acc.sf","moa.sf","md.sf","acc.ratio"
4,0.847826086956522,13,0.8913,0.82007,0.24872,1.05127207105198
4,0.847826086956522,17,0.8913,0.81409,0.25,1.05127207105198
4,0.847826086956522,3,0.76087,0.81455,0.2,0.897432268261326
4,0.847826086956522,5,0.80435,0.81527,0.2,0.948716134130663
4,0.847826086956522,7,0.82609,0.80656,0.19048,0.974358067065332
4,0.847826086956522,11,0.84783,0.81115,0.18545,1
4,0.847826086956522,13,0.82609,0.81073,0.16923,0.974358067065332
4,0.847826086956522,17,0.86957,0.8,0.20441,1.02564193293467
4,0.847826086956522,3,0.76087,0.79886,0.26667,0.897432268261326
4,0.847826086956522,5,0.80435,0.81419,0.22,0.948716134130663
4,0.847826086956522,7,0.80435,0.816,0.22857,0.948716134130663
4,0.847826086956522,11,0.82609,0.80861,0.23273,0.974358067065332
4,0.847826086956522,13,0.82609,0.80967,0.22051,0.974358067065332
4,0.847826086956522,17,0.84783,0.81126,0.21176,1
4,0.847826086956522,3,0.80435,0.80083,0.2,0.948716134130663
4,0.847826086956522,5,0.82609,0.8235,0.22,0.974358067065332
4,0.847826086956522,7,0.82609,0.82495,0.29524,0.974358067065332
4,0.847826086956522,11,0.82609,0.82317,0.26545,0.974358067065332
4,0.847826086956522,13,0.80435,0.82694,0.24359,0.948716134130663
4,0.847826086956522,17,0.80435,0.82297,0.24118,0.948716134130663
4,0.847826086956522,3,0.76087,0.83282,0.13333,0.897432268261326
4,0.847826086956522,5,0.84783,0.84304,0.12,1
4,0.847826086956522,7,0.82609,0.82902,0.2,0.974358067065332
4,0.847826086956522,11,0.78261,0.8204,0.24,0.923074201195995
4,0.847826086956522,13,0.82609,0.81747,0.22308,0.974358067065332
4,0.847826086956522,17,0.82609,0.81393,0.21029,0.974358067065332
4,0.847826086956522,3,0.86957,0.82294,0.13333,1.02564193293467
4,0.847826086956522,5,0.86957,0.81684,0.14,1.02564193293467
4,0.847826086956522,7,0.84783,0.81634,0.14286,1
4,0.847826086956522,11,0.84783,0.80661,0.20727,1
4,0.847826086956522,13,0.82609,0.80999,0.22821,0.974358067065332
4,0.847826086956522,17,0.82609,0.8152,0.21324,0.974358067065332
5,0.804347826086957,3,0.78261,0.86226,0.26667,0.972971964940635
5,0.804347826086957,5,0.82609,0.85895,0.2,1.02702803505936
5,0.804347826086957,7,0.78261,0.85869,0.20952,0.972971964940635
5,0.804347826086957,11,0.80435,0.85218,0.18909,1
5,0.804347826086957,13,0.82609,0.85319,0.20513,1.02702803505936
5,0.804347826086957,17,0.86957,0.85553,0.18676,1.08108410517809
5,0.804347826086957,3,0.67391,0.83416,0.26667,0.837831789643812
5,0.804347826086957,5,0.71739,0.83431,0.24,0.891887859762541
5,0.804347826086957,7,0.78261,0.83252,0.25714,0.972971964940635
5,0.804347826086957,11,0.78261,0.84471,0.24727,0.972971964940635
5,0.804347826086957,13,0.73913,0.84365,0.22821,0.918915894821906
5,0.804347826086957,17,0.73913,0.84414,0.22794,0.918915894821906
5,0.804347826086957,3,0.63043,0.86916,0.26667,0.783775719525082
5,0.804347826086957,5,0.65217,0.87165,0.28,0.810803754584447
5,0.804347826086957,7,0.67391,0.86317,0.2381,0.837831789643812
5,0.804347826086957,11,0.71739,0.86639,0.21455,0.891887859762541
5,0.804347826086957,13,0.76087,0.85773,0.20769,0.945943929881271
5,0.804347826086957,17,0.76087,0.85741,0.225,0.945943929881271
5,0.804347826086957,3,0.69565,0.84999,0.2,0.864859824703176
5,0.804347826086957,5,0.71739,0.85412,0.2,0.891887859762541
5,0.804347826086957,7,0.71739,0.85476,0.2,0.891887859762541
5,0.804347826086957,11,0.86957,0.85299,0.24,1.08108410517809
5,0.804347826086957,13,0.84783,0.846,0.2359,1.05405607011873
5,0.804347826086957,17,0.76087,0.84159,0.22941,0.945943929881271
5,0.804347826086957,3,0.78261,0.84118,0.2,0.972971964940635
5,0.804347826086957,5,0.76087,0.84476,0.18,0.945943929881271
5,0.804347826086957,7,0.71739,0.83802,0.22857,0.891887859762541
5,0.804347826086957,11,0.78261,0.84267,0.23636,0.972971964940635
5,0.804347826086957,13,0.73913,0.83746,0.23333,0.918915894821906
5,0.804347826086957,17,0.73913,0.8385,0.21912,0.918915894821906
5,0.804347826086957,3,0.76087,0.84512,0.13333,0.945943929881271
5,0.804347826086957,5,0.80435,0.86128,0.2,1
5,0.804347826086957,7,0.82609,0.854,0.21905,1.02702803505936
5,0.804347826086957,11,0.84783,0.85142,0.16727,1.05405607011873
5,0.804347826086957,13,0.82609,0.84787,0.1641,1.02702803505936
5,0.804347826086957,17,0.84783,0.84421,0.16765,1.05405607011873
5,0.804347826086957,3,0.65217,0.85522,0.13333,0.810803754584447
5,0.804347826086957,5,0.73913,0.84418,0.08,0.918915894821906
5,0.804347826086957,7,0.84783,0.86006,0.11429,1.05405607011873
5,0.804347826086957,11,0.76087,0.84804,0.14545,0.945943929881271
5,0.804347826086957,13,0.80435,0.85234,0.1641,1
5,0.804347826086957,17,0.78261,0.84718,0.17794,0.972971964940635
5,0.804347826086957,3,0.71739,0.87394,0.13333,0.891887859762541
5,0.804347826086957,5,0.78261,0.85331,0.16,0.972971964940635
5,0.804347826086957,7,0.82609,0.84569,0.18095,1.02702803505936
5,0.804347826086957,11,0.82609,0.85133,0.21818,1.02702803505936
5,0.804347826086957,13,0.84783,0.84965,0.21282,1.05405607011873
5,0.804347826086957,17,0.82609,0.85623,0.19118,1.02702803505936
5,0.804347826086957,3,0.73913,0.81758,0.33333,0.918915894821906
5,0.804347826086957,5,0.73913,0.82198,0.26,0.918915894821906
5,0.804347826086957,7,0.73913,0.82932,0.22857,0.918915894821906
5,0.804347826086957,11,0.78261,0.83479,0.2,0.972971964940635
5,0.804347826086957,13,0.73913,0.84146,0.18718,0.918915894821906
5,0.804347826086957,17,0.78261,0.84216,0.17206,0.972971964940635
5,0.804347826086957,3,0.71739,0.86321,0.2,0.891887859762541
5,0.804347826086957,5,0.76087,0.86205,0.26,0.945943929881271
5,0.804347826086957,7,0.76087,0.84872,0.21905,0.945943929881271
5,0.804347826086957,11,0.76087,0.84147,0.19273,0.945943929881271
5,0.804347826086957,13,0.71739,0.84295,0.20256,0.891887859762541
5,0.804347826086957,17,0.82609,0.84747,0.19412,1.02702803505936
6,0.695652173913043,3,0.67391,0.78851,0.2,0.968748652339539
6,0.695652173913043,5,0.63043,0.81708,0.2,0.906245957018616
6,0.695652173913043,7,0.65217,0.8335,0.2,0.937497304679077
6,0.695652173913043,11,0.67391,0.82661,0.19273,0.968748652339539
6,0.695652173913043,13,0.67391,0.83061,0.21026,0.968748652339539
6,0.695652173913043,17,0.67391,0.82823,0.21471,0.968748652339539
6,0.695652173913043,3,0.63043,0.81943,0.26667,0.906245957018616
6,0.695652173913043,5,0.69565,0.80941,0.22,1
6,0.695652173913043,7,0.69565,0.81241,0.19048,1
6,0.695652173913043,11,0.71739,0.81077,0.19273,1.03125134766046
6,0.695652173913043,13,0.71739,0.816,0.17692,1.03125134766046
6,0.695652173913043,17,0.69565,0.81677,0.17353,1
6,0.695652173913043,3,0.52174,0.83708,0.26667,0.75000359376123
6,0.695652173913043,5,0.63043,0.81164,0.22,0.906245957018616
6,0.695652173913043,7,0.69565,0.8052,0.21905,1
6,0.695652173913043,11,0.65217,0.80811,0.21818,0.937497304679077
6,0.695652173913043,13,0.67391,0.81186,0.22308,0.968748652339539
6,0.695652173913043,17,0.67391,0.81114,0.23382,0.968748652339539
6,0.695652173913043,3,0.69565,0.81555,0.33333,1
6,0.695652173913043,5,0.67391,0.8201,0.26,0.968748652339539
6,0.695652173913043,7,0.67391,0.81627,0.22857,0.968748652339539
6,0.695652173913043,11,0.69565,0.8282,0.19273,1
6,0.695652173913043,13,0.69565,0.82586,0.20769,1
6,0.695652173913043,17,0.67391,0.82323,0.19853,0.968748652339539
6,0.695652173913043,3,0.69565,0.78922,0.33333,1
6,0.695652173913043,5,0.73913,0.79051,0.26,1.06250269532092
6,0.695652173913043,7,0.71739,0.79898,0.2,1.03125134766046
6,0.695652173913043,11,0.69565,0.80241,0.23636,1
6,0.695652173913043,13,0.69565,0.80661,0.25385,1
6,0.695652173913043,17,0.69565,0.81821,0.24853,1
6,0.695652173913043,3,0.65217,0.79721,0.2,0.937497304679077
6,0.695652173913043,5,0.65217,0.80628,0.2,0.937497304679077
6,0.695652173913043,7,0.65217,0.80397,0.19048,0.937497304679077
6,0.695652173913043,11,0.67391,0.80487,0.2,0.968748652339539
6,0.695652173913043,13,0.63043,0.81038,0.19744,0.906245957018616
6,0.695652173913043,17,0.71739,0.81174,0.18971,1.03125134766046
6,0.695652173913043,3,0.69565,0.81147,0.26667,1
6,0.695652173913043,5,0.69565,0.8262,0.24,1
6,0.695652173913043,7,0.69565,0.82563,0.22857,1
6,0.695652173913043,11,0.78261,0.83195,0.20364,1.12500539064185
6,0.695652173913043,13,0.73913,0.82994,0.21795,1.06250269532092
6,0.695652173913043,17,0.78261,0.83474,0.22059,1.12500539064185
6,0.695652173913043,3,0.56522,0.82158,0.26667,0.812506289082153
6,0.695652173913043,5,0.67391,0.81252,0.26,0.968748652339539
6,0.695652173913043,7,0.69565,0.8135,0.22857,1
6,0.695652173913043,11,0.71739,0.81114,0.18909,1.03125134766046
6,0.695652173913043,13,0.71739,0.81386,0.17949,1.03125134766046
6,0.695652173913043,17,0.69565,0.82179,0.17941,1
6,0.695652173913043,3,0.73913,0.79968,0.13333,1.06250269532092
6,0.695652173913043,5,0.73913,0.80597,0.32,1.06250269532092
6,0.695652173913043,7,0.73913,0.81897,0.30476,1.06250269532092
6,0.695652173913043,11,0.71739,0.82484,0.28727,1.03125134766046
6,0.695652173913043,13,0.73913,0.82364,0.26923,1.06250269532092
6,0.695652173913043,17,0.76087,0.812,0.24412,1.09375404298138
6,0.695652173913043,3,0.58696,0.79869,0.13333,0.843757636742615
6,0.695652173913043,5,0.69565,0.8156,0.12,1
6,0.695652173913043,7,0.73913,0.8237,0.20952,1.06250269532092
6,0.695652173913043,11,0.76087,0.81201,0.21818,1.09375404298138
6,0.695652173913043,13,0.76087,0.81595,0.22821,1.09375404298138
6,0.695652173913043,17,0.73913,0.8122,0.22206,1.06250269532092
